true_id,true_label,pred_id,pred_label,count
313,stadium-football,149,football_field,299
336,train_interior,70,bus_interior,212
251,pagoda,330,temple-asia,188
188,ice_skating_rink-indoor,15,arena-hockey,179
54,beer_hall,274,pub-indoor,175
24,athletic_field-outdoor,310,soccer_field,171
229,moat-water,78,canal-natural,166
125,downtown,307,skyscraper,163
293,runway,0,airfield,163
313,stadium-football,314,stadium-soccer,161
312,stadium-baseball,42,baseball_field,161
204,lagoon,194,islet,160
0,airfield,293,runway,160
260,pavilion,159,gazebo-exterior,156
52,bedroom,182,hotel_room,154
208,laundromat,343,utility_room,154
92,classroom,210,lecture_room,153
23,assembly_line,28,auto_factory,152
45,bathroom,303,shower,149
70,bus_interior,336,train_interior,147
307,skyscraper,125,downtown,146
303,shower,45,bathroom,142
163,glacier,234,mountain_snowy,142
302,shopping_mall-indoor,25,atrium-public,142
174,heliport,0,airfield,141
9,aquarium,342,underwater-ocean_deep,138
195,jacuzzi-indoor,325,swimming_pool-indoor,136
314,stadium-soccer,310,soccer_field,136
337,train_station-platform,320,subway_station-platform,136
128,drugstore,262,pharmacy,135
320,subway_station-platform,337,train_station-platform,132
104,corn_field,359,wheat_field,131
27,auditorium,235,movie_theater-indoor,129
234,mountain_snowy,163,glacier,129
51,bedchamber,52,bedroom,128
210,lecture_room,92,classroom,127
101,conference_center,211,legislative_chamber,127
274,pub-indoor,54,beer_hall,127
78,canal-natural,229,moat-water,126
10,aqueduct,347,viaduct,126
166,greenhouse-outdoor,165,greenhouse-indoor,126
120,dining_hall,38,banquet_hall,125
149,football_field,313,stadium-football,124
0,airfield,174,heliport,124
182,hotel_room,52,bedroom,123
189,ice_skating_rink-outdoor,188,ice_skating_rink-indoor,122
22,artists_loft,19,art_gallery,122
13,archaelogical_excavation,340,trench,121
227,medina,4,alley,121
244,office,176,home_office,121
310,soccer_field,314,stadium-soccer,120
212,library-indoor,60,bookstore,118
190,iceberg,187,ice_shelf,118
309,snowfield,305,ski_slope,118
245,office_building,307,skyscraper,117
110,creek,355,waterfall,115
305,ski_slope,309,snowfield,115
353,water_park,326,swimming_pool-outdoor,114
243,ocean,48,beach,114
124,dorm_room,363,youth_hostel,114
130,elevator_lobby,129,elevator-door,112
243,ocean,357,wave,112
278,railroad_track,337,train_station-platform,112
314,stadium-soccer,313,stadium-football,111
75,cafeteria,148,food_court,110
25,atrium-public,302,shopping_mall-indoor,110
337,train_station-platform,278,railroad_track,110
73,butte,81,canyon,109
159,gazebo-exterior,260,pavilion,108
4,alley,227,medina,108
87,chalet,304,ski_resort,107
97,coast,48,beach,107
101,conference_center,210,lecture_room,107
281,recreation_room,6,amusement_arcade,106
69,burial_chamber,85,catacomb,106
347,viaduct,10,aqueduct,106
122,discotheque,315,stage-indoor,106
151,forest_path,150,forest-broadleaf,105
211,legislative_chamber,210,lecture_room,105
342,underwater-ocean_deep,9,aquarium,105
177,home_theater,235,movie_theater-indoor,104
179,hospital_room,248,operating_room,103
120,dining_hall,121,dining_room,103
42,baseball_field,312,stadium-baseball,102
187,ice_shelf,186,ice_floe,102
235,movie_theater-indoor,177,home_theater,102
353,water_park,7,amusement_park,101
235,movie_theater-indoor,27,auditorium,101
203,kitchen,358,wet_bar,101
52,bedroom,51,bedchamber,101
97,coast,94,cliff,100
310,soccer_field,24,athletic_field-outdoor,100
112,crosswalk,319,street,100
103,construction_site,136,excavation,100
215,living_room,328,television_room,100
88,chemistry_lab,56,biology_laboratory,100
224,marsh,323,swamp,99
215,living_room,352,waiting_room,99
67,building_facade,8,apartment_building-outdoor,99
163,glacier,111,crevasse,98
119,diner-outdoor,301,shopfront,98
28,auto_factory,29,auto_showroom,98
297,science_museum,239,natural_history_museum,98
165,greenhouse-indoor,166,greenhouse-outdoor,97
359,wheat_field,104,corn_field,97
119,diner-outdoor,161,general_store-outdoor,96
151,forest_path,152,forest_road,96
248,operating_room,179,hospital_room,96
184,hunting_lodge-outdoor,74,cabin-outdoor,96
258,pasture,173,hayfield,95
279,rainforest,150,forest-broadleaf,95
16,arena-performance,315,stage-indoor,95
293,runway,207,landing_deck,95
343,utility_room,208,laundromat,94
345,vegetable_garden,290,roof_garden,94
162,gift_shop,160,general_store-indoor,94
60,bookstore,212,library-indoor,94
17,arena-rodeo,105,corral,94
178,hospital,256,parking_garage-outdoor,93
175,highway,118,desert_road,93
238,music_studio,250,orchestra_pit,93
188,ice_skating_rink-indoor,189,ice_skating_rink-outdoor,93
286,restaurant_patio,53,beer_garden,92
328,television_room,215,living_room,92
223,market-outdoor,47,bazaar-outdoor,91
234,mountain_snowy,309,snowfield,91
330,temple-asia,251,pagoda,91
223,market-outdoor,53,beer_garden,90
244,office,246,office_cubicles,90
315,stage-indoor,16,arena-performance,90
183,house,107,cottage,89
28,auto_factory,133,engine_room,89
187,ice_shelf,190,iceberg,89
19,art_gallery,22,artists_loft,89
21,art_studio,19,art_gallery,89
319,street,112,crosswalk,87
181,hotel-outdoor,8,apartment_building-outdoor,87
290,roof_garden,345,vegetable_garden,87
245,office_building,8,apartment_building-outdoor,87
92,classroom,202,kindergarden_classroom,86
