true_id,true_label,pred_id,pred_label,count
313,stadium-football,149,football_field,336
336,train_interior,70,bus_interior,308
310,soccer_field,24,athletic_field-outdoor,289
293,runway,0,airfield,246
188,ice_skating_rink-indoor,15,arena-hockey,218
174,heliport,0,airfield,216
52,bedroom,51,bedchamber,179
54,beer_hall,274,pub-indoor,172
313,stadium-football,314,stadium-soccer,168
163,glacier,234,mountain_snowy,165
97,coast,48,beach,164
302,shopping_mall-indoor,25,atrium-public,162
307,skyscraper,125,downtown,160
243,ocean,48,beach,159
151,forest_path,150,forest-broadleaf,159
274,pub-indoor,54,beer_hall,157
120,dining_hall,38,banquet_hall,157
42,baseball_field,312,stadium-baseball,152
52,bedroom,182,hotel_room,149
92,classroom,210,lecture_room,149
305,ski_slope,309,snowfield,149
23,assembly_line,28,auto_factory,148
204,lagoon,194,islet,148
45,bathroom,303,shower,148
204,lagoon,48,beach,148
330,temple-asia,251,pagoda,147
320,subway_station-platform,337,train_station-platform,145
27,auditorium,235,movie_theater-indoor,144
104,corn_field,359,wheat_field,141
9,aquarium,342,underwater-ocean_deep,141
166,greenhouse-outdoor,165,greenhouse-indoor,138
319,street,112,crosswalk,136
22,artists_loft,19,art_gallery,135
101,conference_center,211,legislative_chamber,134
215,living_room,352,waiting_room,131
210,lecture_room,92,classroom,131
251,pagoda,330,temple-asia,130
195,jacuzzi-indoor,325,swimming_pool-indoor,129
21,art_studio,19,art_gallery,129
110,creek,355,waterfall,127
310,soccer_field,314,stadium-soccer,125
347,viaduct,10,aqueduct,125
289,rock_arch,167,grotto,124
227,medina,4,alley,123
78,canal-natural,229,moat-water,123
16,arena-performance,315,stage-indoor,122
177,home_theater,235,movie_theater-indoor,122
260,pavilion,159,gazebo-exterior,122
208,laundromat,343,utility_room,122
190,iceberg,187,ice_shelf,120
290,roof_garden,165,greenhouse-indoor,120
151,forest_path,152,forest_road,120
234,mountain_snowy,309,snowfield,120
337,train_station-platform,278,railroad_track,118
312,stadium-baseball,42,baseball_field,118
146,flea_market-indoor,222,market-indoor,117
215,living_room,328,television_room,117
345,vegetable_garden,290,roof_garden,116
314,stadium-soccer,312,stadium-baseball,116
331,throne_room,90,church-indoor,116
